commodity_code,trade_value_usd
600690,7092517
610120,56674484
610130,51194128
610190,9901686
610210,346778
610220,53113251
610230,37477361
610290,8439923
610310,3828317
610322,1167869
610323,8084611
610329,6167296
610331,326168
610332,23388240
610333,7469812
610339,16189109
610341,53197
610342,157303820
610343,165154203
610349,79456443
610413,197143
610419,22768095
610422,2345985
610423,1236515
610429,4568300
610431,296688
610432,6507916
610433,7966950
610439,14422698
610441,317967
610442,38410987
610443,60880747
610444,13778273
610449,38121239
610451,201488
610452,4520495
610453,10112008
610459,11244999
610461,807461
610462,211520977
610463,311553317
610469,211066728
610510,55385636
610520,17811434
610590,18851200
610610,18149303
610620,21957059
610690,18675714
610711,65888700
610712,24042246
610719,26885325
610721,46830399
610722,20657636
610729,47662282
610791,2174765
610799,15100843
610811,1501968
610819,12961740
610821,72696759
610822,33902208
610829,15278937
610831,67339962
610832,118866427
610839,97486208
610891,5626936
610892,22810031
610899,6367794
610910,395270072
610990,389837514
611011,24294787
611012,10912946
611019,7081738
611020,700796780
611030,377424448
611090,110462339
611120,313792411
611130,21877822
611190,15287329
611211,19260975
611212,43715566
611219,12922314
611220,5098665
611231,5394275
611239,1504799
611241,47936451
611249,2299427
611300,44676504
611420,23984386
611430,33400971
611490,9205082
611510,1513421
611521,213247
611522,964353
611529,6945516
611530,2169130
611594,12715
611595,2731313
611596,5614698
611599,271699
611610,9249596
611691,102910
611692,561796
611693,16345863
611699,1369845
611710,6772757
611780,3266643
611790,91353
620111,5275710
620112,2686823
620113,5293325
620119,5288514
620191,134414
620192,29683700
620193,58169547
620199,1815828
620211,1755464
620212,5226037
620213,7412710
620219,3640004
620291,2618
620292,5347187
620293,38614539
620299,1733246
620311,18611886
620312,26685459
620319,9297860
620322,499539
620323,1464325
620329,388902
620331,1514809
620332,6940307
620333,22678941
620339,20526370
620341,795484
620342,173922368
620343,126626411
620349,28069986
620411,1501220
620412,8260430
620413,309674
620419,3919641
620421,582386
620422,6203317
620423,322895
620429,421644
620431,939721
620432,10489347
620433,9659855
620439,6120980
620441,36415
620442,16833715
620443,14900480
620444,7421204
620449,12940383
620451,411149
620452,14510779
620453,16534025
620459,13878260
620461,482331
620462,400115981
620463,90371889
620469,137891514
620520,90435506
620530,22162719
620590,8481523
620610,2668177
620620,354241
620630,20679635
620640,33103984
620690,21257282
620711,2530478
620719,1459425
620721,9347817
620722,287326
620729,10367
620791,515866
620799,252475
620811,265073
620819,1827934
620821,22665154
620822,7443821
620829,9485878
620891,827962
620892,11478481
620899,1557991
620920,30331044
620930,3269561
620990,3324397
621010,313783455
621020,13531930
621030,249187
621040,22963103
621050,24017598
621111,16866974
621112,1434366
621120,246927
621132,3986304
621133,38404702
621139,2740482
621142,4010179
621143,32000854
621149,4481173
621210,87842249
621220,2373020
621230,3926163
621290,8122223
621320,7160
621390,39646
621410,158957
621420,47748
621430,65740
621490,17197
621510,12415
621520,216706
621590,4704
621600,19401728
621710,4061762
621790,570879
630120,26750
630130,226830
630140,11824232
630190,3473765
630210,1725511
630221,2957891
630222,339335
630229,142862
630231,4111644
630232,14668509
630239,5844845
630251,5496
630253,1106124
630259,102316
630260,53383
630291,8741
630299,20152
630319,110
630392,1321574
630399,1308511
630419,1276800
630491,294204
630493,25305
630499,9468
630510,43841
630520,7095
630532,6121903
630533,18026911
630539,720778
630590,314949
630612,160486
630619,27891
630622,4268564
630629,5313718
630710,1577483
630720,17720782
630790,50130222
630900,4751908
631010,465739
631090,1399826
640110,47619
640192,915142
640199,419028
640212,1734685
640219,99585062
640220,61856047
640291,15166800
640299,112193830
640312,103646
640319,10654978
640320,104704888
640340,46188914
640351,81184
640359,211721
640391,88885635
640399,149344751
640411,91879056
640419,278450676
640420,24811381
640510,3573905
640520,1338544
640590,11696223
640610,6903992
640620,4382642
640690,7950218
650200,116752
650400,288217
650500,24048485
650610,1404519
650691,384129
650699,239973
650700,4603893
660110,30218
660191,13173943
660199,21191976
